nconf;datareg;codall;regione;provincia;comune;Sezione ;specie;materiale;ceppo;antibiotico;ris
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Florfenicolo;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Gentamicina;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Kanamicina;R
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Oxacillina;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Penicillina;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Sulfadiazina;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Tetraciclina;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Tilmicosina;S
5.342;08/01/2018;213BG017;Lombardia;BG;Terno d'Isola;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAVALLO;TAMPONE;Gen. Streptococcus;Trimetoprim + Sulfonamidi;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Acido Nalidixico;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Amoxicillina + Ac.Clavulanico;I
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Ampicillina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Cefalexina;I
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Cefazolina;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Ceftiofur;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Colistina;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Enrofloxacin;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Eritromicina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Florfenicolo;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Gentamicina;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Kanamicina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Oxacillina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Penicillina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Spectinomicina;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Tetraciclina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Tilmicosina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Trimetoprim + Sulfonamidi;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Acido Nalidixico;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Amoxicillina + Ac.Clavulanico;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Ampicillina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Cefalexina;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Cefazolina;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Ceftiofur;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Colistina;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Enrofloxacin;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Eritromicina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Florfenicolo;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Gentamicina;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Kanamicina;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Oxacillina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Penicillina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Spectinomicina;S
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Tetraciclina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Tilmicosina;R
5.478;07/01/2019;037BS040;Lombardia;BS;Capriano del Colle;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO;ANIMALE VIVO/CARCASSA;Escherichia coli emolitico;Trimetoprim + Sulfonamidi;R
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Amoxicillina + Ac.Clavulanico;S
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Ampicillina;S
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Cefalotina;S
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Ceftiofur;S
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Enrofloxacin;S
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Eritromicina;S
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Kanamicina;R
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Oxacillina;S
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Penicillina;S
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Pirlimicina;S
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Rifampicina;S
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Sulfisoxazolo;S
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Tetraciclina;R
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Tilmicosina;S
5.529;07/01/2019;024CR002;Lombardia;CR;Castel Gabbiano;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Gen. Streptococcus;Trimetoprim + Sulfonamidi;S
8.067;09/01/2018;;Lombardia;BG;Albino;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Gen. proteus;Amikacina;S
8.067;09/01/2018;;Lombardia;BG;Albino;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Gen. proteus;Amoxicillina + Ac.Clavulanico;S
8.067;09/01/2018;;Lombardia;BG;Albino;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Gen. proteus;Ampicillina;R
8.067;09/01/2018;;Lombardia;BG;Albino;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Gen. proteus;Cefalotina;S
8.067;09/01/2018;;Lombardia;BG;Albino;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Gen. proteus;Cefazolina;R
8.067;09/01/2018;;Lombardia;BG;Albino;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Gen. proteus;Ceftiofur;S
8.067;09/01/2018;;Lombardia;BG;Albino;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Gen. proteus;Colistina;R
